"id","name","goal","slug","country","currency","staff_pick","category","source_url","name_len","name_len_clean","deadline_weekday","created_at_weekday","launched_at_weekday","deadline_month","deadline_day","deadline_yr","deadline_hr","created_at_month","created_at_day","created_at_yr","created_at_hr","launched_at_month","launched_at_day","launched_at_yr","launched_at_hr","create_to_launch_days","launch_to_deadline_days","DeadlineWeekend","currency_rate"
311581827,"Ojukwu Balewa Awolowo (O.B.A.) Public Library Of Nigeria",1e+05,"ojukwu-balewa-awolowo-oba-public-library-of-nigeri","US","USD",FALSE,"Academic","https://www.kickstarter.com/discover/categories/publishing/academic?ref=category_modal&sort=magic",8,8,"Thursday","Saturday","Sunday",3,26,2015,8,1,24,2015,0,1,25,2015,8,1,60,0,1
242834615,"Cardinal Investment Club",10000,"cardinal-investment-club","US","USD",FALSE,"Academic","https://www.kickstarter.com/discover/categories/publishing/academic?ref=category_modal&sort=magic",3,3,"Sunday","Thursday","Thursday",9,27,2015,10,8,13,2015,9,8,13,2015,10,0,45,1,1
429226406,"What's Next - Exploring Your Future",10000,"whats-next-exploring-your-future","US","USD",FALSE,"Academic","https://www.kickstarter.com/discover/categories/publishing/academic?ref=category_modal&sort=magic",6,6,"Thursday","Tuesday","Sunday",6,30,2016,7,3,22,2016,10,5,1,2016,7,39,60,0,1
736237802,"Exploring horizons of Central Asia",3000,"exploring-horizons-of-central-asia","DE","EUR",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",5,4,"Tuesday","Friday","Sunday",4,12,2016,16,3,11,2016,11,3,13,2016,16,2,30,0,1.11503852
2104461556,"Help Make Photography Program a Reality to East NY Youth",20000,"help-make-photography-program-a-reality-to-east-ny","US","USD",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",10,8,"Saturday","Wednesday","Thursday",1,16,2016,20,12,16,2015,20,12,17,2015,20,1,30,1,1
1814043302,"Beginning Photography",450,"beginning-photography","US","USD",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",2,2,"Wednesday","Saturday","Monday",8,6,2014,11,7,5,2014,14,7,7,2014,11,1,30,0,1
1504275125,"Leaps and Bounds",1000,"photography-by-leaps-and-bounds","US","USD",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",3,2,"Thursday","Monday","Tuesday",9,4,2014,23,8,4,2014,22,8,5,2014,23,1,30,0,1
1067086673,"Postcards from Lake Superior",2500,"postcards-from-lake-superior","US","USD",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",4,3,"Monday","Wednesday","Monday",3,28,2016,22,2,17,2016,23,3,14,2016,22,25,14,0,1
660571995,"Helicopter Air Tour Over Your Hometown or Even Your Home!",2e+05,"helicopter-air-tour-over-your-hometown-or-even-you","US","USD",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",10,9,"Monday","Friday","Friday",4,27,2015,16,3,6,2015,2,3,13,2015,16,7,45,0,1
861344700,"Guatemala: A Photo Project",200,"guatemala-a-photo-project","US","USD",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",4,4,"Wednesday","Monday","Monday",2,4,2015,23,1,5,2015,22,1,5,2015,23,0,30,0,1
933082004,"""from the road""- Australia",25000,"from-the-road-australia","US","USD",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",4,3,"Saturday","Sunday","Thursday",2,13,2016,12,6,21,2015,13,1,14,2016,12,206,30,1,1
822497948,"Getting My Parents to Texas And out of my Hair!",10,"getting-my-parents-to-texas-and-out-of-my-hair","US","USD",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",10,6,"Monday","Wednesday","Saturday",9,8,2014,10,8,6,2014,9,8,9,2014,10,3,30,0,1
1661507283,"NYC in the eyes of a marathoner",1000,"nyc-in-the-eyes-of-a-marathoner","US","USD",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",7,3,"Tuesday","Tuesday","Friday",8,12,2014,12,7,8,2014,11,7,11,2014,12,3,32,0,1
1761289973,"Travels Off Track",8000,"travels-off-track","GB","GBP",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",3,3,"Friday","Thursday","Monday",1,20,2017,13,11,17,2016,11,11,21,2016,13,4,60,0,1.23484231
1259132931,"Then and Now; A Photographic Journey Through Herefordshire.",400,"then-and-now-a-photographic-journey-through-herefo","GB","GBP",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",8,7,"Friday","Monday","Wednesday",4,24,2015,15,3,2,2015,14,3,25,2015,15,23,30,0,1.49282028
119232844,"Freeway Photography",800,"freeway-photography","US","USD",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",2,2,"Wednesday","Monday","Monday",1,27,2016,16,12,28,2015,15,12,28,2015,16,0,30,0,1
1751129219,"Help Photograph a Sailors Journey",10000,"help-photograph-a-sailors-journey","US","USD",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",5,4,"Wednesday","Wednesday","Monday",4,8,2015,15,3,4,2015,8,3,9,2015,15,5,30,0,1
471421639,"Minnesota Roads and Trails",250,"minnesota-roads-and-trails","US","USD",FALSE,"Places","https://www.kickstarter.com/discover/categories/photography/places?ref=category_modal&sort=magic",4,3,"Sunday","Sunday","Tuesday",5,11,2014,19,4,20,2014,19,4,29,2014,17,8,12,1,1
